Site_ID,Machines_Per_Room,Current_Technology_Type,Revenue_Per_Machine_Last_12_Months,Digital_Payment_Percentage,Parent_Tier,Child_Tier,Setup_Configuration,Materials_Required,Rollout_Cost
Site_76,27,Type_A,17025.92125,38.29334839,Small Business,Silver,Standard,8,2784.884683
Site_77,44,Type_C,10091.75289,88.61616065,Mid-Market,Silver,Compact,1,2745.988961
Site_78,25,Type_C,17222.37671,65.47768572,Enterprise,Bronze,Standard,1,995.6402731
Site_79,20,Type_D,6201.722696,49.25880613,Small Business,Bronze,Premium,4,2252.822117
Site_80,49,Type_A,18422.24984,12.57774753,Mid-Market,Gold,Standard,6,1584.789556
Site_81,22,Type_D,13213.88564,50.64534197,Enterprise,Bronze,Compact,9,570.6315752
Site_82,28,Type_D,17259.46655,29.7741234,Small Business,Silver,Premium,1,2120.448339
Site_83,30,Type_D,11784.77427,0.7183161,Small Business,Bronze,Compact,7,904.1995824
Site_84,29,Type_C,14653.66543,86.85108801,Mid-Market,Gold,Premium,5,1655.73517
Site_85,49,Type_A,12896.03991,72.52684745,Enterprise,Bronze,Premium,8,916.3247953
Site_86,45,Type_D,15973.84283,60.54239244,Enterprise,Silver,Compact,7,954.237315
Site_87,33,Type_A,6224.44973,57.81718215,Small Business,Silver,Compact,4,1395.550825
Site_88,19,Type_A,5905.28126,58.89789247,Small Business,Gold,Premium,4,4999.3216
Site_89,49,Type_C,8706.54851,9.238899744,Small Business,Bronze,Premium,6,509.8286429
Site_90,5,Type_D,7393.170202,28.59673555,Enterprise,Bronze,Compact,6,3374.026863
Site_91,29,Type_D,18076.7535,39.20947859,Mid-Market,Bronze,Standard,9,1135.596641
Site_92,11,Type_A,8288.20981,69.06272821,Mid-Market,Silver,Compact,5,4642.826615
Site_93,13,Type_B,19637.97884,17.62096158,Enterprise,Gold,Premium,8,921.34802
Site_94,28,Type_C,10053.43688,4.493948852,Mid-Market,Bronze,Compact,5,4797.784342
Site_95,5,Type_C,7731.768735,17.88017174,Small Business,Silver,Standard,2,3249.168744
Site_96,48,Type_C,16845.47761,99.84348948,Mid-Market,Silver,Compact,6,505.7063461
Site_97,12,Type_C,14880.61663,36.35986298,Mid-Market,Silver,Premium,9,4523.032391
Site_98,28,Type_D,12472.93575,94.88646186,Mid-Market,Bronze,Compact,3,2847.703106
Site_99,15,Type_D,13330.45326,74.23927797,Small Business,Bronze,Premium,1,1682.013809
Site_100,21,Type_B,15788.02667,94.04752997,Enterprise,Bronze,Premium,1,3952.756299
Site_101,12,Type_C,8426.82112,39.62045471,Small Business,Bronze,Compact,3,4669.994992
Site_102,39,Type_C,19945.00874,31.34100865,Enterprise,Bronze,Premium,5,2676.608704
Site_103,39,Type_A,19621.89743,88.55123619,Enterprise,Bronze,Premium,3,1919.990635
Site_104,37,Type_D,14754.8853,61.6161117,Enterprise,Bronze,Standard,9,4050.253058
Site_105,9,Type_C,7993.136764,54.3763491,Mid-Market,Bronze,Standard,8,3568.03474
Site_106,46,Type_B,15203.42364,63.09469782,Mid-Market,Bronze,Standard,3,4499.386177
Site_107,43,Type_B,6082.976135,87.89749995,Enterprise,Silver,Standard,9,3616.313057
Site_108,45,Type_D,5459.787533,58.10522098,Enterprise,Bronze,Premium,6,1595.877525
Site_109,32,Type_B,8865.243328,24.88219522,Mid-Market,Gold,Compact,7,4692.466624
Site_110,11,Type_B,11939.34435,92.89923355,Small Business,Silver,Premium,4,971.7608624
Site_111,13,Type_D,18024.08758,91.98199859,Enterprise,Bronze,Premium,4,1705.742375
Site_112,12,Type_C,15907.53605,64.52287082,Small Business,Gold,Premium,2,2840.875735
Site_113,16,Type_C,16140.59782,5.827428838,Mid-Market,Bronze,Compact,5,3045.839117
Site_114,38,Type_B,11382.40002,33.14273533,Enterprise,Gold,Standard,8,568.8976398
Site_115,37,Type_B,10189.02489,32.13300433,Small Business,Gold,Premium,7,4012.577266
Site_116,27,Type_C,10565.58144,63.80800092,Small Business,Gold,Premium,7,2127.232933
Site_117,28,Type_D,19814.74346,40.63392088,Small Business,Gold,Standard,6,2328.883435
Site_118,41,Type_B,5601.637871,98.9868816,Mid-Market,Silver,Premium,3,4142.16295
Site_119,39,Type_A,18005.47244,36.39039536,Mid-Market,Silver,Compact,5,2206.775263
Site_120,48,Type_D,13680.13113,8.671305242,Small Business,Gold,Premium,1,712.5119442
Site_121,44,Type_B,11579.23129,38.74265317,Small Business,Bronze,Premium,7,1293.978967
Site_122,26,Type_B,15878.86491,12.63014065,Mid-Market,Gold,Standard,9,4801.564276
Site_123,31,Type_A,12300.03412,27.60269445,Small Business,Silver,Premium,1,816.8241308
Site_124,39,Type_A,18101.34857,87.94415836,Small Business,Bronze,Premium,2,2097.190404
Site_125,5,Type_C,18510.52796,9.754669271,Mid-Market,Silver,Compact,3,2764.306252
Site_126,39,Type_D,11325.8139,93.35561556,Small Business,Silver,Standard,3,2719.763723
Site_127,41,Type_D,9152.416959,46.60325275,Small Business,Bronze,Standard,8,517.8197436
Site_128,18,Type_C,13885.25493,85.78628762,Small Business,Gold,Compact,7,2755.232292
Site_129,7,Type_D,18685.45018,98.82933893,Mid-Market,Gold,Premium,6,2226.976061
Site_130,5,Type_D,8159.932835,57.79657399,Small Business,Gold,Standard,4,4874.35701
Site_131,9,Type_D,14344.49875,70.49592923,Mid-Market,Gold,Standard,9,1216.215878
Site_132,30,Type_D,14473.4033,51.39995062,Mid-Market,Bronze,Premium,1,2093.693885
Site_133,18,Type_D,15996.69534,42.28001133,Enterprise,Bronze,Premium,2,2387.666683
Site_134,43,Type_A,6973.515277,95.62609277,Enterprise,Bronze,Standard,4,2258.120917
Site_135,31,Type_D,15737.37447,87.69967049,Small Business,Silver,Premium,3,3496.238724
Site_136,13,Type_A,18635.48781,44.13576035,Mid-Market,Bronze,Standard,1,1469.807859
Site_137,19,Type_D,7695.246633,65.68326468,Enterprise,Gold,Premium,5,1494.821988
Site_138,19,Type_C,8563.149874,27.08265125,Small Business,Silver,Premium,7,3781.449268
Site_139,30,Type_B,19570.92641,34.77083514,Enterprise,Gold,Compact,2,2751.307334
Site_140,46,Type_A,7714.654291,15.4395637,Enterprise,Gold,Premium,5,2368.200542
Site_141,17,Type_D,17815.7764,30.75071733,Mid-Market,Bronze,Compact,6,1261.413733
Site_142,36,Type_C,12384.16785,57.00689226,Mid-Market,Bronze,Premium,7,1343.872503
Site_143,43,Type_B,8708.466116,32.70333776,Enterprise,Gold,Standard,1,547.4823657
Site_144,36,Type_A,18061.24852,72.46188257,Enterprise,Gold,Standard,7,911.4182099
Site_145,8,Type_B,11679.57883,69.36865012,Mid-Market,Silver,Premium,4,3005.774126
Site_146,34,Type_C,12722.26031,21.10148401,Small Business,Bronze,Premium,8,4513.429085
Site_147,41,Type_A,10388.50054,55.35804836,Mid-Market,Silver,Standard,4,1792.241443
Site_148,27,Type_B,13894.26277,20.16196595,Enterprise,Silver,Premium,6,1974.862517
Site_149,43,Type_D,7452.858089,17.75776263,Small Business,Silver,Compact,9,1020.225248
Site_150,49,Type_A,10866.22305,14.24376623,Enterprise,Gold,Compact,5,2248.839255
Site_151,19,Type_B,19541.18484,8.336476416,Small Business,Silver,Compact,4,667.4976706
Site_152,47,Type_C,8872.001491,56.90147795,Enterprise,Silver,Compact,8,4629.203133
Site_153,33,Type_C,14851.04997,68.11331817,Small Business,Gold,Compact,9,3529.001067
Site_154,40,Type_A,9877.850963,41.78012534,Small Business,Bronze,Premium,4,4958.369642
Site_155,17,Type_B,16602.09689,62.88275766,Enterprise,Bronze,Premium,3,4472.704232
Site_156,36,Type_A,6963.104911,39.89258332,Small Business,Silver,Compact,8,2628.457672
Site_157,11,Type_A,19547.31568,29.44141374,Mid-Market,Gold,Premium,5,2838.58264
Site_158,26,Type_B,11806.84312,31.15949815,Enterprise,Bronze,Premium,2,1357.592209
Site_159,32,Type_B,8540.75695,62.5447113,Mid-Market,Silver,Compact,9,2579.177043
Site_160,6,Type_D,6102.45121,83.31397983,Enterprise,Silver,Premium,3,4563.625431
Site_161,46,Type_B,7546.368576,56.94706615,Small Business,Gold,Premium,2,728.8404064
Site_162,49,Type_C,12796.60923,85.74058559,Small Business,Silver,Premium,1,4386.005613
Site_163,10,Type_A,10055.04765,10.99029648,Small Business,Bronze,Compact,8,2034.265107
Site_164,32,Type_A,17433.25049,65.41225393,Enterprise,Gold,Premium,3,4547.807443
Site_165,32,Type_C,11463.31285,84.55402528,Mid-Market,Bronze,Standard,7,4733.959579
Site_166,48,Type_B,8730.714089,97.45522401,Mid-Market,Bronze,Standard,1,3518.891992
Site_167,48,Type_C,14257.1748,35.41776137,Enterprise,Bronze,Compact,1,3489.90704
Site_168,24,Type_C,15601.65825,36.30976825,Enterprise,Silver,Standard,9,2537.39452
Site_169,34,Type_D,7505.628619,65.93958334,Mid-Market,Silver,Compact,8,4259.93101
Site_170,15,Type_C,7514.288244,92.82881112,Mid-Market,Bronze,Standard,3,4827.257413
Site_171,32,Type_A,5550.071404,59.03711051,Mid-Market,Bronze,Standard,6,3987.868102
Site_172,29,Type_C,16046.03023,68.87825049,Mid-Market,Gold,Standard,3,3298.715302
Site_173,43,Type_A,14957.06791,32.28793603,Enterprise,Gold,Compact,4,3230.568031
Site_174,37,Type_A,12119.46314,39.42207505,Enterprise,Silver,Compact,1,4322.614557
Site_175,5,Type_A,17662.55673,63.54062718,Small Business,Silver,Premium,5,2935.416946
Site_176,31,Type_B,17085.05229,78.21074457,Mid-Market,Gold,Compact,1,4117.369488
Site_177,17,Type_D,13780.31547,1.196403384,Small Business,Bronze,Standard,1,2789.983648
Site_178,45,Type_A,18024.06921,54.59983788,Enterprise,Silver,Standard,7,780.9992374
Site_179,7,Type_A,8087.618151,31.17257642,Enterprise,Bronze,Compact,6,2227.76154
Site_180,43,Type_B,6678.794291,85.94470324,Small Business,Gold,Compact,2,2499.98431
Site_181,10,Type_A,9046.244173,51.44103003,Mid-Market,Silver,Compact,2,1137.277602
Site_182,12,Type_C,5856.302841,97.24632801,Mid-Market,Silver,Premium,7,961.2334814
Site_183,31,Type_C,12967.54292,49.45448821,Mid-Market,Gold,Standard,1,2909.592273
Site_184,13,Type_D,19049.08538,3.598259288,Mid-Market,Silver,Premium,2,883.1463645
Site_185,41,Type_A,5590.15311,61.5793287,Small Business,Gold,Premium,8,1863.253256
Site_186,37,Type_B,6831.64871,96.10039874,Small Business,Silver,Standard,6,3850.686392
Site_187,46,Type_C,11782.98542,96.90442091,Enterprise,Gold,Standard,2,4839.944808
Site_188,48,Type_B,19008.12526,61.20132401,Mid-Market,Silver,Compact,7,3730.417612
Site_189,28,Type_B,9742.341575,83.99750635,Mid-Market,Bronze,Compact,4,4966.814968
Site_190,19,Type_C,12608.52213,97.66479037,Mid-Market,Bronze,Premium,2,3642.520871
Site_191,36,Type_B,5623.592886,24.3786386,Small Business,Bronze,Compact,6,1822.075118
Site_192,36,Type_C,7225.148014,54.14769911,Mid-Market,Silver,Compact,9,3524.236432
Site_193,28,Type_B,19799.45184,71.0755228,Small Business,Silver,Standard,9,3659.705443
Site_194,45,Type_C,19476.78045,9.991681698,Mid-Market,Bronze,Standard,8,2172.771431
Site_195,16,Type_A,5074.099714,88.38610398,Mid-Market,Bronze,Compact,3,579.7123277
Site_196,43,Type_D,19277.17678,4.408117104,Enterprise,Gold,Standard,3,3664.399031
Site_197,6,Type_C,14586.79907,68.60332826,Mid-Market,Gold,Compact,2,597.6504287
Site_198,7,Type_C,18018.77442,11.15963277,Mid-Market,Gold,Standard,5,3340.346351
Site_199,41,Type_D,11821.09783,39.70571235,Enterprise,Bronze,Standard,4,1236.274199
Site_200,21,Type_C,12733.94043,17.32926403,Small Business,Bronze,Standard,7,3045.215875
Site_201,6,Type_C,12332.6987,1.598683679,Small Business,Bronze,Standard,4,2767.608614
Site_202,6,Type_B,15002.96386,71.15945622,Mid-Market,Gold,Compact,9,560.8113904
Site_203,32,Type_D,7094.768821,3.886451459,Small Business,Silver,Premium,2,2132.896176
Site_204,27,Type_A,5449.603848,61.05181051,Mid-Market,Bronze,Standard,6,3204.910253
Site_205,41,Type_C,9618.949124,61.44880953,Enterprise,Silver,Compact,7,4318.729484
Site_206,36,Type_D,15570.21144,65.96128957,Enterprise,Silver,Compact,4,4498.889512
Site_207,37,Type_B,8027.801782,45.85923927,Mid-Market,Silver,Standard,6,2677.324865
Site_208,5,Type_A,15101.4865,84.58549568,Enterprise,Gold,Premium,7,3777.901193
Site_209,23,Type_D,19548.68069,44.62885146,Enterprise,Silver,Standard,4,1924.045594
Site_210,6,Type_A,6408.510737,45.82951876,Mid-Market,Bronze,Compact,8,2039.838826
Site_211,48,Type_A,15089.03177,23.80981874,Mid-Market,Gold,Premium,9,1375.085836
Site_212,30,Type_A,11656.25329,16.63500381,Enterprise,Bronze,Compact,1,3028.766495
Site_213,36,Type_C,18022.13382,55.95586497,Small Business,Bronze,Standard,7,1915.538679
Site_214,10,Type_C,7657.246842,69.76667506,Small Business,Gold,Premium,9,879.669034
Site_215,36,Type_B,15389.38928,74.06651027,Mid-Market,Bronze,Compact,5,3582.52739
Site_216,8,Type_B,17571.72934,80.53761633,Mid-Market,Bronze,Compact,2,3684.889434
Site_217,15,Type_D,19169.21329,94.23524178,Small Business,Gold,Compact,6,2119.965885
Site_218,21,Type_B,15248.72042,65.75520212,Enterprise,Bronze,Standard,7,845.2552976
Site_219,42,Type_A,12457.62146,72.97523079,Small Business,Silver,Premium,2,2418.339728
Site_220,28,Type_A,14267.7086,3.358261413,Small Business,Bronze,Standard,2,2490.509561
Site_221,9,Type_C,18033.57477,44.22911737,Small Business,Silver,Standard,1,3509.018982
Site_222,38,Type_A,13559.1462,65.2722961,Small Business,Bronze,Standard,4,1919.373761
Site_223,10,Type_D,5455.805895,41.9532399,Mid-Market,Gold,Premium,7,3571.696759
Site_224,26,Type_A,18964.23043,86.08032987,Mid-Market,Gold,Standard,9,4421.698438
Site_225,15,Type_A,15342.90127,55.59562508,Enterprise,Bronze,Standard,3,1568.687191
Site_226,20,Type_D,15147.70079,37.37656786,Enterprise,Gold,Standard,7,4905.138003
Site_227,37,Type_B,8235.127286,51.11021682,Enterprise,Bronze,Standard,7,2238.656617
Site_228,13,Type_B,14883.28205,59.82211993,Enterprise,Gold,Compact,7,1702.664083
Site_229,10,Type_D,10907.96608,0.61516111,Small Business,Silver,Standard,2,2396.800321
Site_230,20,Type_C,14768.49466,11.96852379,Mid-Market,Bronze,Compact,6,924.7886416
Site_231,33,Type_A,6598.895455,37.65940418,Mid-Market,Silver,Standard,2,1065.676579
Site_232,7,Type_D,14867.67957,43.06226388,Enterprise,Silver,Premium,6,2364.953211
Site_233,24,Type_A,19991.20589,37.93395202,Enterprise,Bronze,Compact,3,3931.000349
Site_234,40,Type_C,5723.180583,79.86878922,Small Business,Silver,Compact,2,4551.405078
Site_235,23,Type_A,19657.61276,60.48622567,Small Business,Bronze,Compact,6,3491.680958
Site_236,30,Type_D,11103.61941,96.05404671,Enterprise,Silver,Compact,2,973.4879986
Site_237,7,Type_A,18061.30176,52.44539625,Mid-Market,Bronze,Premium,5,3524.08893
Site_238,23,Type_B,16735.78226,45.6975416,Mid-Market,Bronze,Standard,2,3359.425643
Site_239,24,Type_C,13505.24391,77.22502639,Mid-Market,Gold,Compact,3,4125.937632
Site_240,36,Type_C,16076.73814,3.597115283,Enterprise,Bronze,Premium,3,4213.619
Site_241,11,Type_C,18177.73342,9.054538906,Mid-Market,Bronze,Compact,6,4406.913841
Site_242,45,Type_D,11062.10482,27.78567645,Small Business,Silver,Standard,6,2363.591816
Site_243,37,Type_C,9905.497423,46.66133712,Small Business,Bronze,Compact,3,3640.389779
Site_244,44,Type_B,15013.90078,13.00308404,Enterprise,Gold,Premium,3,1707.126615
Site_245,43,Type_D,17117.68913,86.93476562,Small Business,Silver,Standard,1,4997.01326
Site_246,22,Type_B,16434.27702,20.94902057,Enterprise,Silver,Premium,7,1289.004086
Site_247,44,Type_A,16967.20473,87.5179186,Mid-Market,Gold,Standard,8,545.5149425
Site_248,5,Type_A,11533.74972,20.57893375,Mid-Market,Silver,Standard,2,1169.639215
Site_249,15,Type_A,17267.51324,72.42324317,Mid-Market,Silver,Standard,4,3991.425303
Site_250,32,Type_A,6803.135831,12.2909419,Small Business,Silver,Compact,7,2510.526544
Site_251,29,Type_B,13167.33647,5.595790617,Enterprise,Silver,Premium,8,2513.751115
Site_252,27,Type_D,5086.379907,85.12040306,Mid-Market,Gold,Premium,1,4797.603138
Site_253,35,Type_D,9868.787449,53.73243949,Enterprise,Gold,Premium,4,4638.357086
Site_254,34,Type_C,10496.92302,1.901262184,Mid-Market,Silver,Standard,6,1900.37632
Site_255,46,Type_B,10942.59037,51.6592564,Small Business,Silver,Compact,3,1440.76158
Site_256,39,Type_A,15432.0081,13.64524775,Small Business,Gold,Standard,5,4318.169945
Site_257,11,Type_B,10828.37152,41.12684779,Enterprise,Gold,Premium,9,4577.08582
Site_258,20,Type_C,11730.40434,62.46700921,Small Business,Gold,Compact,3,2937.186153
Site_259,30,Type_C,8563.161963,71.42164445,Small Business,Silver,Compact,5,3332.4067
Site_260,6,Type_B,10598.77687,79.67769089,Enterprise,Silver,Compact,8,1656.114281
Site_261,5,Type_B,8409.044409,23.82018086,Mid-Market,Bronze,Premium,6,4103.612096
Site_262,16,Type_B,6097.938857,61.34594932,Small Business,Gold,Compact,4,3344.550928
Site_263,9,Type_D,14051.7289,48.87245378,Enterprise,Silver,Compact,8,2765.810801
Site_264,41,Type_A,15023.19198,50.767452,Small Business,Gold,Standard,3,770.4885024
Site_265,36,Type_B,14292.35519,42.27209708,Small Business,Silver,Standard,3,4621.707331
Site_266,13,Type_B,11952.41066,13.44228544,Small Business,Gold,Compact,4,3269.531392
Site_267,45,Type_B,10696.7867,1.926065642,Small Business,Silver,Compact,9,1367.109926
Site_268,39,Type_C,17950.00474,59.24157914,Enterprise,Bronze,Standard,5,3228.737526
Site_269,23,Type_C,12786.22678,17.24810779,Enterprise,Bronze,Standard,8,3548.585094
Site_270,20,Type_D,12187.72816,23.54722053,Enterprise,Gold,Standard,6,2865.966515
Site_271,7,Type_A,5384.630987,42.64710485,Small Business,Silver,Premium,3,3731.457821
Site_272,24,Type_D,10118.71741,4.395285639,Small Business,Silver,Premium,8,3116.542766
Site_273,28,Type_A,10702.93428,79.95254845,Small Business,Gold,Standard,9,4764.963119
Site_274,37,Type_C,10982.34171,89.07357897,Enterprise,Silver,Compact,8,741.6368537
Site_275,28,Type_C,13702.58554,14.6038033,Small Business,Gold,Standard,4,978.1056881
Site_276,15,Type_C,13004.0382,56.08501834,Mid-Market,Silver,Premium,6,1281.522366
Site_277,12,Type_D,14118.57639,15.30311458,Small Business,Gold,Compact,1,3605.769818
Site_278,40,Type_B,16473.24892,10.69097948,Mid-Market,Silver,Premium,4,3405.181427
Site_279,42,Type_B,17194.78608,93.75424064,Small Business,Gold,Compact,8,4514.264871
Site_280,44,Type_C,15771.84614,11.6535237,Enterprise,Silver,Premium,1,3797.948538
Site_281,24,Type_B,19332.85544,55.16809446,Small Business,Bronze,Compact,3,2787.599694
Site_282,39,Type_B,5273.48874,48.9567511,Mid-Market,Silver,Compact,1,4963.243066
Site_283,29,Type_D,7936.669785,37.34074889,Mid-Market,Gold,Compact,9,1697.485803
Site_284,39,Type_A,5113.443125,7.361739327,Small Business,Bronze,Compact,2,4249.362469
Site_285,29,Type_C,14712.12071,98.08839056,Mid-Market,Silver,Premium,9,2420.556675
Site_286,33,Type_C,18470.45823,52.31565317,Mid-Market,Bronze,Premium,4,3419.308125
Site_287,22,Type_D,8652.234449,31.22779576,Enterprise,Silver,Compact,2,3772.708117
Site_288,22,Type_D,18905.51817,27.72930423,Small Business,Bronze,Compact,4,3351.893392
Site_289,6,Type_B,5904.010854,30.74675685,Small Business,Gold,Premium,6,1132.282864
Site_290,39,Type_C,19016.5404,86.55648706,Small Business,Silver,Compact,7,2493.279548
Site_291,20,Type_A,10274.34031,70.06044116,Mid-Market,Silver,Compact,3,3026.472701
Site_292,45,Type_D,6521.312427,64.12844746,Small Business,Gold,Compact,3,4320.696916
Site_293,40,Type_A,12288.07639,19.55627923,Small Business,Bronze,Standard,8,2496.40587
Site_294,37,Type_A,8851.648516,72.12401276,Enterprise,Gold,Compact,5,4634.362872
Site_295,8,Type_C,9273.093529,78.92950361,Enterprise,Gold,Standard,4,2481.684004
Site_296,37,Type_C,9609.349474,4.255198096,Enterprise,Bronze,Compact,7,2969.509367
Site_297,18,Type_D,17045.38847,99.11367149,Mid-Market,Gold,Premium,7,4083.285573
Site_298,25,Type_C,13087.41915,0.217914432,Small Business,Silver,Standard,9,3123.80458
